中国大陆中国大陆	29.40158	91.22004	29.40313	91.21908	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
西藏大学里西藏大学里	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	52.67	3.09	44.5	566.45	11.33	
中国大陆中国大陆	29.40158	91.22004	29.40313	91.21908	11.33	
